season,week,away_team,home_team,away_score,home_score,spread_line,model_spread,model_pick,expected_value,total_line,predicted_total,over_under,ats_result,total_result
2023,7,LV,CHI,12,30,-2.5,LV -0.5,CHI +2.5,-21.63%,38.5,43.24,Over,win,win
2023,7,MIA,PHI,17,31,3.0,PHI -3.0,MIA +3.0,-4.36%,52.0,50.23,Under,loss,win
2023,7,PIT,LA,24,17,3.5,LA -3.5,LA -3.5,-4.32%,44.0,35.66,Under,loss,win
2023,7,SF,MIN,17,22,-7.0,SF -6.5,MIN +7.0,-0.73%,44.5,45.13,Over,win,loss
2023,7,WAS,NYG,7,14,-3.0,WAS -2.5,NYG +3.0,-0.86%,37.0,33.21,Under,win,win
2023,8,ATL,TEN,23,28,-2.5,ATL -0.5,TEN +2.5,6.20%,35.0,39.3,Over,win,win
2023,8,BAL,ARI,31,24,-9.5,BAL -10.0,BAL -9.5,-1.28%,44.5,42.67,Under,loss,loss
2023,8,CHI,LAC,13,30,9.5,LAC -8.0,CHI +9.5,-24.30%,46.0,43.14,Under,loss,win
2023,8,CIN,SF,31,17,4.0,SF -5.0,SF -4.0,1.07%,44.0,42.67,Under,loss,loss
2023,8,CLE,SEA,20,24,4.0,SEA -4.0,CLE +4.0,-3.33%,39.5,44.66,Over,push,win
